ROADNAME,LOCATION,FEATURE ID,ASSET TYPE,Column Material                                  ,Feature Type,Lantern Manufacturer                             ,LAMP TYPE,LAMP WATTAGE,Dimming Classification                           ,CONDITION,ELIGIBLE Supply,TOWN,WARD,Mounting Height                                  ,POSTCODE
BLAIR AVENUE,UNASSIGNED,COL/008/056/0001,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Walkden North Ward,5m,M44 5BL
FOLLY LANE,UNASSIGNED,COL/322/005/0021,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Swinton,Swinton South Ward,10m,M28 1JU
GILDA BROOK ROAD,AT ROUNDABOUT,COL/300/015/0019,Lighting Column 12m,Steel,SL - Column,Urbis,High P Sodium (T),250 watts,,Level 1 (Good),Yes,Eccles,Eccles Ward,12m,M44 5AA
GRAYMAR ROAD,UNASSIGNED,COL/008/060/0006,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M28 0LF
CONISTON AVENUE,UNASSIGNED,COL/008/005/0017,LED Lighting Column 8m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,72 Watts,Dimmed to 75%,Level 1 (Good),Yes,Worsley,Walkden North Ward,8m,M44 5DL
DIXON AVENUE,UNASSIGNED,COL/034/028/0008,Lighting Column 5m,Concrete,SL - Column,Phosco,Low P Sodium,35 watts,,Level 4,Yes,Salford 7,Broughton Ward,5m,M38 0BZ
BROAD STREET,UNASSIGNED,COL/200/019/0078,Lighting Mast 30m,Steel,SL - Column,Unknown,High P Sodium (T),400 watts,,,Yes,Swinton,Pendlebury Ward,30m,M44 6AE
HAWTHORNE DRIVE,OUTSIDE 24/26,COL/015/004/0004,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Worsley Ward,6m,M38 9TS
HEATH AVENUE,SIDE OF 18,COL/042/007/0014,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,56 watts,Dimmed to 73%,Level 1 (Good),Yes,Salford 7,Broughton Ward,6m,M28 0LH
DIXON AVENUE,UNASSIGNED,COL/034/028/0009,Lighting Column 5m,Concrete,SL - Column,Thorn,Low P Sodium,35 watts,,Level 2,Yes,Salford 7,Broughton Ward,5m,M38 0BZ
CARTLEACH LANE,UNASSIGNED,COL/004/030/0005,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Little Hulton Ward,6m,M28 1DF
CHAPEL STREET,UNASSIGNED,COL/200/024/0033,Lighting Column 12m,Steel,SL - Column,Iris,High P Sodium (T),250 watts,,Level 2,Yes,Salford 3,Ordsall Ward,12m,M44 6AD
CROSSFIELD DRIVE,UNASSIGNED,COL/013/033/0002,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,Dimmed to 76%,Level 3,Yes,Worsley,Worsley Ward,5m,M44 5BF
EGERTON STREET,UNASSIGNED,COL/072/027/0001,Lighting Column 5m,Concrete,SL - Column,Thorn,Low P Sodium,35 watts,,Level 4,Yes,Eccles,Winton Ward,5m,M38 9EG
BROOKHURST LANE,UNASSIGNED,COL/006/015/0006,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Little Hulton Ward,5m,M28 1DH
DIXON AVENUE,UNASSIGNED,COL/034/028/0010,Lighting Column 5m,Concrete,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 2,Yes,Salford 7,Broughton Ward,5m,M38 0BZ
KING EDWARD STREET,UNASSIGNED,COL/069/054/0004,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Eccles,Barton Ward,5m,M38 0EN
CHAPEL STREET,UNASSIGNED,COL/200/024/0032,Lighting Column 12m,Steel,SL - Column,Iris,High P Sodium (T),250 watts,,Level 2,Yes,Salford 3,Ordsall Ward,12m,M44 6AD
CONISTON AVENUE,UNASSIGNED,COL/008/005/0018,LED Lighting Column 8m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,72 Watts,Dimmed to 75%,Level 1 (Good),Yes,Worsley,Walkden North Ward,8m,M44 5EG
HIGH BANK ROAD,UNASSIGNED,COL/026/028/0005,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Swinton,Pendlebury Ward,5m,M28 0LF
COUNTY ROAD,UNASSIGNED,COL/004/006/0001,LED Lighting Column 8m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,55 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Little Hulton Ward,8m,M38 0BU
BROAD STREET,UNASSIGNED,COL/200/019/0027,Lighting Mast 30m,Steel,SL - Column,Unknown,High P Sodium (T),400 watts,,,Yes,Salford 6,Irwell Riverside Ward,30m,M38 9TZ
CHURCH STREET,UNASSIGNED,SGN/026/034/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Swinton,Pendlebury Ward,,M28 1BP
DIXON AVENUE,UNASSIGNED,COL/034/028/0011,Lighting Column 5m,Concrete,SL - Column,Thorn,Low P Sodium,35 watts,,Level 4,Yes,Salford 7,Broughton Ward,5m,M38 0BZ
BOUNDARY ROAD,UNASSIGNED,COL/076/011/0010,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Irlam,Irlam Ward,6m,M38 9TR
BRIDGEWATER ROAD,UNASSIGNED,SGN/302/004/0008-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Worsley,Walkden South Ward,,M44 5AX
CARTLEACH LANE,UNASSIGNED,COL/004/030/0004,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Little Hulton Ward,6m,M28 1JH
CHURCH STREET,ROAD AT OR OUTSIDE IRWELL PLACE ISLAND,COL/300/022/0001,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T+),150 watts,,Level 1 (Good),Yes,Eccles,Barton Ward,10m,M28 1JH
EGERTON ROAD,UNASSIGNED,COL/010/026/0008,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 4,Yes,Worsley,Walkden North Ward,5m,M38 9EG
CROSS STREET,UNASSIGNED,SGN/041/010/0003-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 3,Ordsall Ward,,M44 5AY
EDGEHILL CLOSE,ROAD AT OR OUTSIDE 22,COL/053/007/0005,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 4,Yes,Salford 5,Langworthy Ward,5m,M28 0LH
GRAYMAR ROAD,UNASSIGNED,COL/008/060/0005,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M28 0JQ
GREENGATE,UNASSIGNED,COL/040/014/0001,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,8m,M38 9UT
CROSS STREET,UNASSIGNED,SGN/041/010/0004-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 3,Ordsall Ward,,M44 5DL
CONISTON AVENUE,UNASSIGNED,COL/008/005/0019,LED Lighting Column 8m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,72 Watts,Dimmed to 75%,Level 1 (Good),Yes,Worsley,Walkden North Ward,8m,M44 5AY
KING STREET,UNASSIGNED,COL/040/033/0003,LED Lighting Column 5m,Concrete,SL - Column (LED),Thorn,LED Street Light,19 watts,Dimmed to 79%,Level 2,Yes,Salford 3,Ordsall Ward,5m,M38 0BU
KING STREET,UNASSIGNED,COL/061/034/0003,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 2,Yes,Salford 6,Claremont Ward,6m,M38 0BU
BOUNDARY ROAD,UNASSIGNED,COL/076/011/0009,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,19 watts,Dimmed to 79%,Level 2,Yes,Irlam,Irlam Ward,6m,M38 9TR
GILDA BROOK ROAD,UNASSIGNED,SGN/300/015/0018-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Eccles Ward,,M44 5BE
ECCLES OLD ROAD,ROAD AT OR OUTSIDE 140,COL/300/014/0046,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T+),250 watts,,Level 1 (Good),Yes,Salford 6,Weaste and Seedley Ward,10m,M44 5EG
BLACKLEACH DRIVE,ROAD OUTSIDE 58/60,COL/010/070/0011,Lighting Column 6m,Steel,SL - Column,WRTL,High P Sodium (T),70 watts,,Level 4,Yes,Worsley,Walkden North Ward,6m,M44 5BL
CALEDONIAN DRIVE,UNASSIGNED,COL/070/037/0008,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 4,Yes,Eccles,Barton Ward,6m,M44 6ZG
CROSSFIELD DRIVE,UNASSIGNED,COL/017/037/0002,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Swinton,Swinton North Ward,6m,M44 5BF
DOUGLAS GREEN,UNASSIGNED,COL/028/039/0009,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Salford 6,Irwell Riverside Ward,5m,M28 1HW
DALE GROVE,UNASSIGNED,COL/080/030/0002,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,19 watts,Dimmed to 79%,Level 2,Yes,Irlam,Cadishead Ward,6m,M38 9TZ
BROAD STREET,UNASSIGNED,COL/200/019/0075,Lighting Mast 30m,Steel,SL - Column,Unknown,High P Sodium (T),400 watts,,,Yes,Salford 6,Claremont Ward,30m,M44 6ZA
BROAD STREET,UNASSIGNED,COL/200/019/0077,Lighting Mast 30m,Steel,SL - Column,Unknown,High P Sodium (T),400 watts,,,Yes,Salford 6,Claremont Ward,30m,M44 6AF
HAYDOCK DRIVE,UNASSIGNED,COL/001/014/0001,LED Lighting Column 6m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 2,Yes,Worsley,Boothstown and Ellenbrook Ward,6m,M38 9TS
CHAPEL STREET,UNASSIGNED,COL/200/024/0031,Lighting Column 12m,Steel,SL - Column,Philips,High P Sodium (T),250 watts,,Level 2,Yes,Salford 3,Ordsall Ward,12m,M44 6AH
ECCLES OLD ROAD,ROAD FACING 161,COL/300/014/0066,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T+),150 watts,,Level 1 (Good),Yes,Salford 6,Weaste and Seedley Ward,10m,M28 1JP
BLACKLEACH DRIVE,ROAD OUTSIDE 58/60,COL/010/070/0010,Lighting Column 6m,Steel,SL - Column,WRTL,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M44 5BL
KING EDWARD STREET,ROAD OPPOSITE 35,COL/047/007/0004,Lighting Column 5m,Cast Iron,SL - Column,Metcraft,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M28 0YJ
KING STREET,UNASSIGNED,SGN/040/033/0002-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 3,Ordsall Ward,,M38 0BU
BOUNDARY ROAD,UNASSIGNED,COL/076/011/0013,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 3,Yes,Irlam,Irlam Ward,6m,M38 9TR
BRIDGEWATER ROAD,UNASSIGNED,COL/003/024/0008,Lighting Column 8m,Steel,SL - Column,Thorn,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,8m,M44 5AX
CARTLEACH LANE,UNASSIGNED,COL/004/030/0003,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Little Hulton Ward,6m,M28 1JH
CHAPEL STREET,UNASSIGNED,COL/200/024/0034,Lighting Column 12m,Steel,SL - Column,Iris,High P Sodium (T),250 watts,,Level 2,Yes,Salford 3,Ordsall Ward,12m,M44 6GN
DALE GROVE,,COL/080/030/0003,LED Lighting Column,Steel,SL - Column (LED),Thorn,LED Street Light,19 watts,Dimmed to 79%,,Yes,Irlam,Cadishead Ward,,M38 9UA
ECCLES OLD ROAD,ROAD FACING 157,COL/300/014/0065,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T+),150 watts,,Level 1 (Good),Yes,Salford 6,Weaste and Seedley Ward,10m,M28 1JP
GILDA BROOK ROAD,AT ROUNDABOUT,COL/300/015/0018,Lighting Column 12m,Steel,SL - Column,Urbis,High P Sodium (T),250 watts,,Level 1 (Good),Yes,Eccles,Eccles Ward,12m,M44 5BE
BROAD STREET,UNASSIGNED,SGN/200/019/0026-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,,,,M38 9TZ
BROOKHURST LANE,UNASSIGNED,COL/006/015/0005,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Worsley,Little Hulton Ward,5m,M28 1DF
BOUNDARY ROAD,UNASSIGNED,COL/076/011/0011,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Irlam,Irlam Ward,6m,M38 9TR
DALES BROW,UNASSIGNED,SGN/067/001/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Swinton,Worsley Ward,,M38 9UD
GREENFIELD ROAD,,COL/008/062/0002,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,Dimmed to 76%,,Yes,Worsley,Walkden North Ward,6m,M38 9EG
CROSS STREET,UNASSIGNED,SGN/041/010/0005-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 3,Ordsall Ward,,M44 5AY
BOUNDARY ROAD,UNASSIGNED,COL/076/011/0012,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Irlam,Irlam Ward,6m,M38 9TR
HIGH BANK ROAD,UNASSIGNED,COL/026/028/0006,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Swinton,Pendlebury Ward,6m,M28 0LF
KING EDWARD STREET,UNASSIGNED,COL/069/054/0003,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 2,Yes,Eccles,Barton Ward,5m,M38 0FL
CROSSFIELD DRIVE,UNASSIGNED,COL/013/033/0001,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Worsley Ward,5m,M44 5BF
DALE STREET,UNASSIGNED,COL/015/061/0001,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Swinton,Worsley Ward,5m,M38 9UA
EDGEHILL CLOSE,ROAD SIDE OF PUBLIC HOUSE,COL/053/007/0001,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Salford 5,Langworthy Ward,5m,M28 0JQ
EDGEHILL CLOSE,ROAD OPPOSITE 2,COL/053/007/0002,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 2,Yes,Salford 5,Langworthy Ward,5m,M28 0JW
GILDA BROOK ROAD,UNASSIGNED,SGN/300/015/0017-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Eccles Ward,,M44 6ZA
DIXON AVENUE,UNASSIGNED,COL/034/028/0012,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Salford 7,Broughton Ward,5m,M38 0BZ
BROAD STREET,UNASSIGNED,COL/200/019/0073,Lighting Mast 30m,Steel,SL - Column,Unknown,High P Sodium (T),400 watts,,,Yes,Salford 6,Claremont Ward,30m,M44 6ZA
CALEDONIAN DRIVE,PSSGE  REAR OF CALEDONIAN DR,COL/070/037/0010,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Eccles,Barton Ward,5m,M44 6ZG
DALES BROW,UNASSIGNED,COL/067/001/0001,LED Lighting Column 8m,Concrete,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 2,Yes,Swinton,Worsley Ward,8m,M38 9UA
ECCLES OLD ROAD,FOOTPATH OUTSIDE  153/155,COL/300/014/0064,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Salford 6,Weaste and Seedley Ward,6m,M28 1JP
CONISTON AVENUE,UNASSIGNED,COL/008/005/0020,LED Lighting Column 8m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,72 Watts,Dimmed to 75%,Level 1 (Good),Yes,Worsley,Walkden North Ward,8m,M44 5AY
EDGEHILL CLOSE,UNASSIGNED,SGN/053/007/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Langworthy Ward,,M28 0JW
CHAPEL STREET,UNASSIGNED,COL/200/024/0028,Lighting Column 12m,Steel,SL - Column,Thorn,High P Sodium (T),250 watts,,Level 2,Yes,Salford 3,Ordsall Ward,12m,M44 6ZA
EDGEHILL CLOSE,ROAD OPPOSITE 20,COL/053/007/0004,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 2,Yes,Salford 5,Langworthy Ward,5m,M28 0JW
GRAYMAR ROAD,UNASSIGNED,COL/008/060/0004,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M28 0JQ
CHAPEL STREET,UNASSIGNED,COL/200/024/0030,Lighting Column 12m,Steel,SL - Column,Thorn,High P Sodium (T),250 watts,,Level 2,Yes,Salford 3,Ordsall Ward,12m,M44 6AH
CROSS STREET,UNASSIGNED,SGN/041/010/0006-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 3,Ordsall Ward,,M44 5BF
ECCLES OLD ROAD,ROAD AT OR OUTSIDE 136/138,COL/300/014/0045,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T+),250 watts,,Level 1 (Good),Yes,Salford 6,Weaste and Seedley Ward,10m,M44 5EG
KING STREET,UNASSIGNED,SGN/061/034/0002-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 6,Claremont Ward,,M38 0BU
CROSSFIELD DRIVE,UNASSIGNED,COL/017/037/0001,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Swinton,Swinton North Ward,6m,M44 5BF
BRIDGEWATER ROAD,UNASSIGNED,SGN/302/004/0007-2,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Worsley,Walkden South Ward,,M44 5AX
EAST LANCASHIRE ROAD,UNASSIGNED,COL/201/002/0151,Lighting Column 10m,Steel,SL - Column,Unknown,Low P Sodium,180 watts,,Level 1 (Good),Yes,Worsley,Swinton North Ward,10m,M28 0YJ
ECCLES OLD ROAD,ROAD OUTSIDE 163/165,COL/300/014/0067,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Salford 6,Weaste and Seedley Ward,6m,M28 1JP
CROSS STREET,UNASSIGNED,SGN/041/010/0007-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 3,Ordsall Ward,,M44 5BF
BLACKLEACH DRIVE,ROAD OUTSIDE 55/57,COL/010/070/0009,Lighting Column 6m,Steel,SL - Column,WRTL,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M44 5BL
BROAD STREET,UNASSIGNED,COL/200/019/0026,Lighting Mast 30m,Steel,SL - Column,Unknown,High P Sodium (T),400 watts,,,Yes,Salford 6,Irwell Riverside Ward,30m,M38 9TZ
DIXON AVENUE,UNASSIGNED,COL/034/028/0013,Lighting Column 5m,Concrete,SL - Column,Phosco,Low P Sodium,35 watts,,Level 4,Yes,Salford 7,Broughton Ward,5m,M38 0BZ
DIXON AVENUE,UNASSIGNED,COL/034/028/0014,Lighting Column 5m,Concrete,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 2,Yes,Salford 7,Broughton Ward,5m,M38 0BZ
KING EDWARD STREET,ROAD OPPOSITE 29,COL/047/007/0003,Lighting Column 5m,Cast Iron,SL - Column,Metcraft,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M38 0FL
DRYWOOD AVENUE,UNASSIGNED,COL/014/009/0009,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 2,Yes,Worsley,Worsley Ward,5m,M28 1HW
CARTLEACH LANE,UNASSIGNED,COL/004/030/0002,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Little Hulton Ward,6m,M28 1JH
EDGEHILL CLOSE,UNASSIGNED,SGN/053/007/0002-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Langworthy Ward,,M28 0JW
HAYDOCK DRIVE,UNASSIGNED,COL/001/014/0002,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 4,Yes,Worsley,Boothstown and Ellenbrook Ward,6m,M38 9TS
CHURCH STREET,ROAD AT OR OUTSIDE 2,COL/069/005/0001,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 1 (Good),Yes,Eccles,Eccles Ward,8m,M28 1BP
CONISTON AVENUE,UNASSIGNED,COL/008/005/0021,LED Lighting Column 8m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,72 Watts,Dimmed to 75%,Level 1 (Good),Yes,Worsley,Walkden North Ward,8m,M44 5EG
BLACKLEACH DRIVE,ROAD OUTSIDE 45/47,COL/010/070/0008,Lighting Column 6m,Steel,SL - Column,WRTL,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M44 5BL
GREENFIELD ROAD,UNASSIGNED,COL/008/062/0001,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M38 9UT
GILDA BROOK ROAD,UNASSIGNED,SGN/300/015/0016-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Eccles Ward,,M44 6ZA
CHAPEL STREET,UNASSIGNED,COL/200/024/0027,Lighting Column 12m,Steel,SL - Column,Thorn,High P Sodium (T),250 watts,,Level 1 (Good),Yes,Salford 3,Ordsall Ward,12m,M44 6ZA
EDGEHILL CLOSE,ROAD AT OR OUTSIDE 8,COL/053/007/0003,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 2,Yes,Salford 5,Langworthy Ward,5m,M28 0JW
GILDA BROOK ROAD,AT ROUNDABOUT,COL/300/015/0017,Lighting Column 12m,Steel,SL - Column,Urbis,High P Sodium (T),400 watts,,Level 1 (Good),Yes,Eccles,Eccles Ward,12m,M44 6ZT
KING STREET,UNASSIGNED,COL/061/034/0002,LED Lighting Column 6m,Cast Iron,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 3,Yes,Salford 6,Claremont Ward,6m,M38 0BU
BARLOW LANE,UNASSIGNED,COL/072/022/0002,LED Lighting Column 5m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 3,Yes,Eccles,Winton Ward,5m,M44 5BF
BRADSHAW STREET,UNASSIGNED,COL/034/044/0008,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Salford 7,Broughton Ward,6m,M38 0LR
BRADSHAW STREET NORTH,UNASSIGNED,COL/034/030/0006,Lighting Column 6m,Steel,SL - Column,Urbis,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Salford 7,Broughton Ward,6m,M28 0YF
CHAPEL STREET,UNASSIGNED,COL/200/024/0029,Lighting Column 12m,Steel,SL - Column,Iris,High P Sodium (T),250 watts,,Level 2,Yes,Salford 3,Ordsall Ward,12m,M44 6AJ
ARGOSY DRIVE,UNASSIGNED,COL/074/061/0013,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 1 (Good),Yes,Eccles,Barton Ward,6m,M28 0LD
CHURCH STREET,UNASSIGNED,COL/026/034/0001,Lighting Column 5m,Concrete,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 1 (Good),Yes,Swinton,Pendlebury Ward,5m,M28 1JH
KING STREET,ROAD OPPOSITE SUB STATION,COL/070/014/0002,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,41 watts,Dimmed to 76%,Level 1 (Good),Yes,Eccles,Barton Ward,6m,M38 0BX
EAST LANCASHIRE ROAD,UNASSIGNED,COL/201/002/0150,Lighting Column 10m,Steel,SL - Column,Philips,Low P Sodium,180 watts,,Level 3,Yes,Worsley,Worsley Ward,10m,M28 0YJ
BRIDGEWATER ROAD,UNASSIGNED,SGN/302/004/0007-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Worsley,Walkden South Ward,,M44 5BL
