ROADNAME,LOCATION,FEATURE ID,ASSET TYPE,Column Material                                  ,Feature Type,Lantern Manufacturer                             ,LAMP TYPE,LAMP WATTAGE,Dimming Classification                           ,CONDITION,ELIGIBLE Supply,TOWN,WARD,Mounting Height                                  ,POSTCODE
BROADWAY,ROAD OUTSIDE 59/61,COL/002/009/0018,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,6m,M30 9JF
HARDY STREET,UNASSIGNED,COL/074/023/0012,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 2,Yes,Eccles,Winton Ward,6m,M30 9EZ
CROFTSIDE AVENUE,UNASSIGNED,COL/010/043/0003,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 2,Yes,Worsley,Walkden North Ward,5m,M27 0DW
ELSINORE AVENUE,UNASSIGNED,COL/078/001/0002,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,19 watts,Dimmed to 79%,Level 2,Yes,Irlam,Cadishead Ward,6m,M27 0DN
CENTENARY WAY,ROAD AT OR OUTSIDE CENTENARY CIRCLE PECU AT COLUMN,BOL/657/001/0006,Illuminated Bollard,None,SL - Bollard,F.D.I.,Low P Mercury (C) Single (PL),11 watts,,,Yes,,,,M27 0WH
HOWCLOUGH DRIVE,ROAD OPPOSITE KESWICK RD,COL/011/030/0003,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,6m,M30 9QG
AURIGA WALK,ROAD OPPOSITE 6,COL/042/059/0002,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 1 (Good),Yes,Salford 7,Broughton Ward,6m,M27 6LB
BARTON ROAD,UNASSIGNED,COL/324/003/0010,Lighting Column 10m,Steel,SL - Column,Thorn,High P Sodium (T),150 watts,,Level 2,Yes,Eccles,Barton Ward,10m,M30 0SZ
BARTON ROAD,UNASSIGNED,COL/324/001/0010,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T),150 watts,,Level 2,Yes,Worsley,Worsley Ward,10m,M30 0SZ
CHOLMONDELEY ROAD,UNASSIGNED,SGN/062/019/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 6,Weaste and Seedley Ward,,M27 0AA
CENTENARY WAY,ROAD AT OR OUTSIDE CENTENARY CIRCLE PECU AT COLUMN,BOL/657/001/0002,Illuminated Bollard,None,SL - Bollard,F.D.I.,Low P Mercury (C) Single (PL),11 watts,,,Yes,,,,M27 0JH
CHAPEL ROAD,UNASSIGNED,COL/078/027/0006,Lighting Column 5m,Concrete,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 3,Yes,Irlam,Irlam Ward,5m,M30 0WA
DURHAM ROAD,UNASSIGNED,COL/062/048/0004,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 1 (Good),Yes,Salford 6,Claremont Ward,5m,M27 9TA
HARROP STREET,UNASSIGNED,COL/004/058/0002,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,26 watts,,Level 1 (Good),Yes,Worsley,Little Hulton Ward,6m,M30 9EZ
ALGERNON STREET,UNASSIGNED,COL/068/009/0006,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,19 watts,Dimmed to 79%,Level 1 (Good),Yes,Eccles,Eccles Ward,5m,M30 9DR
