Unit Type,Unit No.,Address 1,Address 2,Easting,Northing,MH - MOUNTING HEIGHT,CT - COLUMN TYPE,LT - LAMP TYPE,LW - LAMP WATTS
LIGHTING COLUMN,3,ACRES LANE,STALYBRIDGE,396697,398407,10 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),150 WATTS
LIGHTING COLUMN,4,ACRES LANE,STALYBRIDGE,396660,398402,10 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),150 WATTS
LIGHTING COLUMN,5,ACRES LANE,STALYBRIDGE,396633,398374,8 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),150 WATTS
LIGHTING COLUMN,6,ACRES LANE,STALYBRIDGE,396601,398371,10 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,150 WATTS
LIGHTING COLUMN,7,ACRES LANE,STALYBRIDGE,396575,398344,10 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,150 WATTS
LIGHTING COLUMN,8,ACRES LANE,STALYBRIDGE,396540,398338,10 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,150 WATTS
LIGHTING COLUMN,9,ACRES LANE,STALYBRIDGE,396514,398324,10 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,150 WATTS
LIGHTING COLUMN,10,ACRES LANE,STALYBRIDGE,396504,398300,10 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),150 WATTS
LIGHTING COLUMN,11,ACRES LANE,STALYBRIDGE,396496.76,398311.47,10 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,ACRESBROOK,STALYBRIDGE,397387.08,397314.24,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,ACRESBROOK,STALYBRIDGE,397374.18,397316.82,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,ACRESBROOK,STALYBRIDGE,397371.4,397283.48,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,4,ACRESBROOK,STALYBRIDGE,397359.85,397257.98,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,5,ACRESBROOK,STALYBRIDGE,397340.13,397246.47,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,6,ACRESBROOK,STALYBRIDGE,397310.37,397256.13,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,7,ACRESBROOK,STALYBRIDGE,397307.06,397276.64,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,8,ACRESBROOK,STALYBRIDGE,397287.88,397286.56,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,9,ACRESBROOK,STALYBRIDGE,397280.34,397314.87,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
